url,out,checksum
https://researchdata.ntu.edu.sg/api/access/datafile/110509?gbrecs=true,..\data\S0003\S0003_full_SQobold_bin.wav,928470f74eaebe99b570747825cf36917363029d2e0411e49bff1aa524a765bdcab199abd3c49d514f301434fe428bf2ddd4d5667ae8566cb12b41771128322f
https://researchdata.ntu.edu.sg/api/access/datafile/111127?gbrecs=true,..\data\S0003\S0003_full_SQobold_spl.wav,ce4792ca0f991dce47a876e8b495ae5d012ee95b24c9a91aae62789379fe12bca2bcc6e9145ca37e67c50f8c718b9dfe593738286cd49228b4c94c55dbb9128d
https://researchdata.ntu.edu.sg/api/access/datafile/111122?gbrecs=true,..\data\S0003\S0003_full_Zylia_02ch.wav,6eed3e356c212329b2203c3455d350ea1f704ab1c98cc6e380ae4115dae69fd46960a1e7f6374f9130459a25914559aed2c02881583fdabd5cabb424a20cb7c8
Upon request,..\data\S0003\S0003_full_Zylia_19ch_part01.wav,0c0332cafffa2b9630084f86e3569f52bfecffcc0986eed9c62b5b269e39b0f4ec4b9b16e963f89e7b3f6ac3ad4727d209f48c2eb690c74dc3b0fc181466590e
Upon request,..\data\S0003\S0003_full_Zylia_19ch_part02.wav,1abd59394ad3b4da0c04e699d0a4ed97087166462a138eba43afedf0766b0e2ffd2d39467c84000a10c6f5d4953ecffaef000043cf78b4cf99d9d2057cd448c6
https://researchdata.ntu.edu.sg/api/access/datafile/111067?gbrecs=true,..\data\S0004\S0004_1min_Insta360.mp4,2b96627a22e864bfc6a37fd0825ad1c3d1b390e9b754ef9109ce9bcaa61cf5705a7a1935d2cbb1901ce4371578a3a0eebd6cf8a4bd605f5e6bab921658e55464
https://researchdata.ntu.edu.sg/api/access/datafile/111353?gbrecs=true,..\data\S0004\S0004_1min_SQobold_all.hdf,d8be63d061f0d3a4f9476957648386364ef7d471875c29cf622c554d6c45057782c54929438b74651d667932e4de0e3a076b6fba54c438afea31bdafef1fda60
https://researchdata.ntu.edu.sg/api/access/datafile/110347?gbrecs=true,..\data\S0004\S0004_1min_SQobold_bin.wav,aea3cd090051115d31f4a806e4b287d8390f056c5744defb282c00b982401e63ca5f360a8a9afc38cc43f8d347e23298390f471bbd5025dc98e96527a5d69465
https://researchdata.ntu.edu.sg/api/access/datafile/110177?gbrecs=true,..\data\S0004\S0004_1min_SQobold_spl.wav,6cd2e82161dea8e08ba51f5fed9700e6355618c2d8302298eac141c6a7a392241b7e678e097138058dceeb4ba7cb84dc76371b983bba1033e413b7ee01dadc42
https://researchdata.ntu.edu.sg/api/access/datafile/110205?gbrecs=true,..\data\S0004\S0004_1min_Zylia_02ch.wav,57e2344e7e25b15394d4df4d97600a5a197bcf3572a440a149b44e6ea8b082936a29496632de1a483bdbe6f75269d1c7b2738f84774a610ba8e5b6c07c4145d9
https://researchdata.ntu.edu.sg/api/access/datafile/110297?gbrecs=true,..\data\S0004\S0004_1min_Zylia_19ch.wav,0ef31fcd841f90079a83216ea8e52795e7e5be131f07151db265901dd471f74d25cc7517e279ba7779c078d8153d8012b82e6d16b0206f814cb7215a7e5230aa
Upon request,..\data\S0004\S0004_full_Insta360.mp4,92d2aa67a36c1268600c766a8847556289ddbc839358cd9b41fc782c4ef8cd9d06bddfe3e15e4d555265e744c860ead470937ee04747a99ff34910a1d1ff5518
https://researchdata.ntu.edu.sg/api/access/datafile/111133?gbrecs=true,..\data\S0004\S0004_full_SQobold_all.hdf,bbab9f415a0e6989aca652f1af7f7d4d951cadb1400f1bfdce3f9b27c0201105b51de8968c0faa3fac1a7df51cbc43790d222fc37e5cbf51c745d8736a2b18f7
https://researchdata.ntu.edu.sg/api/access/datafile/110496?gbrecs=true,..\data\S0004\S0004_full_SQobold_bin.wav,e3bfba8efe5a0f4ead7f9627ac2165737a77788a816f59e54207c687261b2cd3fb7c95f97107b8bc479db3ad596e714d6fc62346d7343c2e7cd0093e946205c6
